NumberOfSubjects,Fatal,SubjectArmed,SubjectRace,SubjectGender,SubjectAge,NumberOfOfficers,OfficerRace,OfficerGender
1,F,N,W,M,42,1,W,M
1,N,N,W,U,U,NA,U,U
1,N,N,W,U,U,NA,U,U
1,N,N,B,M,26,NA,U,U
1,F,Y,B,M,34,NA,U,U
1,N,N,B,M,44,NA,U,U
1,F,N,W,M,40,NA,U,U
1,N,Y,W,M,19,NA,U,U
1,N,Y,B,M,27,NA,U,U
1,F,N,W,M,48,NA,U,U
1,F,Y,W,M,35,NA,U,U
1,N,Y,W,M,31,NA,U,U
1,N,Y,W,F,40,NA,U,U
1,F,N,B,M,57,NA,U,U
1,F,N,W,M,49,NA,U,U
1,F,N,B,U,U,NA,U,U
1,N,N,B,U,U,NA,U,U
1,U,N,U,U,U,NA,U,U
1,F,Y,B,U,U,NA,U,U
1,N,Y,U,U,U,NA,U,U
1,N,Y,B,M,44,NA,U,U
1,N,N,B,M,29,NA,U,U
1,N,N,W,M,38,NA,U,U
1,F,N,W,M,22,NA,U,U
1,N,Y,W,M,40,NA,U,U
1,F,N,B,M,19,NA,U,U
1,F,N,B,M,42,NA,U,U
1,F,N,B,M,19,NA,U,U
1,N,N,W,M,21,NA,U,U
1,N,N,W,M,52,NA,U,U
1,N,N,W,M,37,NA,U,U
1,N,N,W,M,22,NA,U,U
1,F,Y,B,F,23,NA,U,U
1,F,N,B,U,U,NA,U,U
1,N,N,U,U,U,NA,U,U
1,N,N,B,M,48,NA,U,U
1,F,NA,B,U,U,2,W;W,U
1,N,NA,B,U,U,2,W;W,U
1,F,NA,B,U,U,1,W,U
1,F,NA,B,U,U,1,B,U
1,N,NA,U,U,U,1,B,U
1,N,NA,B,U,U,1,B,U
1,F,NA,W,U,U,1,W,U
1,F,NA,B,U,U,1,B,U
1,N,NA,B,U,U,6,B;B;B;W;W;W,U
1,N,NA,B,U,U,6,B;B;B;W;W;W,U
1,N,NA,B,U,U,6,B;B;B;W;W;W,U
1,F,NA,B,U,U,6,B;B;B;W;W;W,U
1,N,NA,B,U,U,1,W,U
1,N,NA,B,U,U,2,W;W,U
1,F,NA,B,U,U,1,W,U
1,F,NA,B,U,U,1,W,U
1,N,NA,B,U,U,2,B;B,U
1,N,NA,B,U,U,2,W;W,U
1,N,NA,B,U,U,1,B,U
1,N,NA,B,U,U,1,W,U
1,N,NA,B,U,U,1,W,U
1,F,NA,B,U,U,3,W;W;B,U
1,F,NA,B,U,U,2,W;H,U
1,N,NA,B,U,U,2,W;H,U
1,N,NA,L,U,U,2,B;B,U
1,F,NA,B,U,U,2,W;H,U
1,N,NA,B,U,U,1,B,U
1,N,NA,B,U,U,4,H;H;H;W,U
1,F,NA,B,U,U,2,W;B,U
1,N,NA,B,U,U,1,W,U
1,N,NA,B,U,U,1,B,U
1,N,NA,B,U,U,1,B,U
1,N,NA,B,U,U,1,B,U
1,F,NA,B,U,U,1,W,U
1,F,NA,B,U,U,1,B,U
1,N,NA,W,U,U,1,W,U
1,N,NA,B,U,U,2,W;A,U
1,N,NA,B,U,U,3,W;W;W,U
1,N,NA,B,U,U,1,W,U
1,F,NA,B,U,U,1,W,U
1,N,NA,B,U,U,1,B,U
1,N,NA,B,U,U,1,B,U
1,N,NA,B,U,U,1,H,U
1,F,NA,B,U,U,1,B,U
1,N,NA,B,U,U,3,H;B;B,U
1,N,NA,B,U,U,3,W;W;B,U
1,N,NA,B,U,U,1,W,U
1,F,NA,W,U,U,1,W,U
1,N,NA,W,U,U,3,W;W;B,U
1,N,NA,B,U,U,2,H;W,U
1,N,NA,B,U,U,1,W,U
1,N,NA,B,U,U,2,B;W,U
